ISO_code,Year,IPV,Education,Employment,Parliamentary Representation,Poverty,Legal Protection Index,Son Bias,Maternal Mortality,Attitudes Towards Violence,Child Marriage,Access Water Sanitation,Access Electricity,Cell Phone Use,Financial Inclusion,Education (source),Employment (source),Parliamentary Representation (source),Poverty Alleviation (source),Legal Protection (source),Gender-Equitable Births (source),Maternal Survival (source),Attitudes Against Violence (source),Absence of Child Marriage (source),Water Sanitation Access (source),Electricity Access (source),Cell Phone Use (source),Financial Inclusion (source),Subregion,Region,Income,Education (score),Employment (score),Parliamentary Representation (score),Poverty Alleviation (score),Legal Protection (score),Gender-Equitable Births (score),Maternal Survival (score),Attitudes Against Violence (score),Absence of Child Marriage (score),Water Sanitation Access (score),Electricity Access (score),Cell Phone Use (score),Financial Inclusion (score),Equity,Protection,Resources,WSI (Baseline),included_index,Economy
AFG,2018,46.0,0.4486989529651778,18.84536557173121,27.444794952681388,24.68970002001485,0.2291666666666666,105.3,663.4275,4.2007730887145645,32.5125,56.37725725797001,93.4,59.90264778,0.0615304624661803,TSI,TSI,ORI,TSI,ORI,ORI,ORI,AVG_REG,TSI,ORI,ORI,ORI,TSI,Southern Asia,South Asia,Low income,0.1904564762946147,0.1414481611822369,0.2619730427301405,0.7301672128960126,0.1777777777777777,0.7142857142857143,0.6070281688410237,0.9057158970441546,0.5755548302872062,0.5256486152087959,0.933467741935484,0.1875320012580079,0.0540201134802614,30.03645341761565,70.06461526145247,42.51671179706373,44.72692289700698,True,Afghanistan
ALB,2018,13.0,0.938384293205911,61.25129961831047,27.857142857142858,0.0,0.9375,108.4,5.42929,5.54197355429127,11.8,97.47635267156846,100.0,94.36446759,0.3949111104011535,TSI,ORI,ORI,ORI,ORI,ORI,ORI,AVG_REG,ORI,ORI,ORI,ORI,TSI,Southern Europe,Europe & Central Asia,Upper middle income,0.5946981986840828,0.5900694002398233,0.2659090909090909,1.0,0.9333333333333332,0.5371428571428567,0.9974207439954624,0.8740806397265171,0.8459530026109661,0.972557993154045,1.0,0.2954186185524091,0.390068727620854,67.6802004633266,81.36493108689507,66.4511334831827,71.52652019091778,True,Albania
AGO,2018,38.0,0.6034100669232596,67.99326990401875,30.454545454545453,31.1,0.8125,102.6,233.09626,20.24828425129148,30.3,52.92617557058372,45.3,42.49094914,0.2233164608478546,TSI,TSI,ORI,ORI,ORI,ORI,ORI,AVG_AFR,TSI,ORI,ORI,ORI,TSI,Central Africa,Sub-Saharan Africa,Lower middle income,0.318172546268167,0.6613941129543606,0.2907024793388429,0.6601092896174863,0.8,0.8685714285714288,0.8623451566380009,0.527198920674415,0.6044386422976501,0.4881217364629991,0.4485887096774193,0.1330227130667317,0.2171008468110047,54.60756856357713,71.56385370453737,32.17085015045387,50.09599792015682,True,Angola
ARG,2018,27.0,1.0386029411764706,61.9646345856722,39.51367781155015,1.0,0.6875,105.3,33.94483,4.513540621865597,15.5,96.21369364061388,100.0,131.9371685,0.5433669537305832,ORI,ORI,ORI,ORI,ORI,ORI,ORI,TSI,TSI,TSI,ORI,ORI,TSI,South America,Latin America & Caribbean,Upper middle income,0.6774300175521879,0.5976159199455185,0.3771760154738878,0.989071038251366,0.6666666666666666,0.7142857142857143,0.980502377162034,0.8983385648363396,0.7976501305483028,0.9588279059975728,1.0,0.4130442003163155,0.5397126278320582,66.15919315779254,84.76941967080977,72.78961835364865,74.18218438121767,True,Argentina
ARM,2018,10.0,0.9988163404904544,59.33819523916476,18.09523809523809,1.3,0.8125,110.8,25.1014,1.458842302808275,5.3,95.7463755243127,99.9,126.1831509,0.4179829806089401,TSI,ORI,ORI,ORI,ORI,ORI,ORI,TSI,TSI,ORI,ORI,ORI,TSI,Western Asia,Europe & Central Asia,Upper middle income,0.6445856526761015,0.5698302691767952,0.1727272727272727,0.985792349726776,0.8,0.4,0.9857492142482596,0.9703905584282,0.9308093994778068,0.953746313652122,0.998991935483871,0.3950305986510803,0.4133252365303651,63.4587108861389,82.17372930385666,69.02735210793595,71.13475153500279,True,Armenia
AUS,2018,23.0,1.0104923325262307,71.46668077951085,32.743362831858406,0.5,0.96875,105.9,4.42425,2.2905027932960893,0.1588235294117647,99.98988141499466,100.0,110.6519296,0.9939631968736647,ORI,ORI,ORI,ORI,ORI,ORI,ORI,ORI,AVG_EUR,ORI,ORI,ORI,TSI,Australia and New Zealand,East Asia & Pacific,High income,0.6542243384673232,0.698140052544036,0.3125502815768302,0.994535519125683,0.9666666666666668,0.6799999999999995,0.998017037644549,0.9507739580073364,0.9979265857779144,0.9998899710447416,1.0,0.3464083570589075,0.9939148857709336,72.52233716761079,90.66793953574498,83.50533034686455,81.88667659619742,True,Australia
AUT,2018,15.0,0.9508908366533864,72.45946951006977,33.60655737704918,0.6,0.9375,105.4,5.82625,1.5610529899472192,0.1,99.98178533204933,100.0,124.2461975,0.9878183007240297,TSI,ORI,ORI,ORI,ORI,ORI,ORI,AVG_REG,AVG_REG,ORI,ORI,ORI,TSI,Western Europe,Europe & Central Asia,High income,0.6050225156461972,0.7086429720160262,0.320789865871833,0.9934426229508196,0.9333333333333332,0.7085714285714281,0.997185226277818,0.967979687368099,0.9986945169712794,0.9998019346693304,1.0,0.3889667473705902,0.9877208134757546,71.2246261963642,91.8107714797156,84.41223738789188,82.03069838124676,True,Austria
AZE,2018,14.0,0.9346049046321524,75.51516997235542,16.8,0.0,0.78125,113.8,27.59978,4.590818363273453,11.0,95.72275158124415,100.0,101.8436601,0.2994445323944091,ORI,TSI,ORI,TSI,ORI,ORI,ORI,TSI,TSI,ORI,ORI,ORI,TSI,Western Asia,Europe & Central Asia,Upper middle income,0.5915782634499912,0.740969865843519,0.1603636363636363,1.0,0.7666666666666667,0.2285714285714285,0.9842669168998908,0.8965157938955971,0.856396866840731,0.9534894281514772,1.0,0.3188330750276116,0.2938381532469965,65.19156864647626,74.14377515519118,64.15401641065213,67.68565859854282,True,Azerbaijan
BGD,2018,50.0,0.8285714285714285,40.63913025271153,20.285714285714285,10.666666666666666,0.375,105.1,172.13547,1.4166666666666663,58.9,68.00189321692618,86.9,98.83168698,0.3157872036099434,ORI,TSI,ORI,TSI,ORI,ORI,ORI,ORI,ORI,ORI,ORI,ORI,TSI,Southern Asia,South Asia,Lower middle income,0.5040462271169092,0.3720089526075951,0.1936363636363636,0.8834244080145719,0.3333333333333333,0.7257142857142859,0.8985134006086782,0.9713853665393808,0.2310704960835509,0.6520542884474861,0.8679435483870969,0.3094037531551733,0.3103116109817324,45.72898569417546,70.6670887236474,53.492830024287215,55.70593239341971,True,Bangladesh
BLR,2018,21.0,0.9989288580756924,76.9335002776702,33.13253012048193,0.0,0.71875,105.7,1.11169,4.4473512099411385,4.7,98.69443872968095,99.3,119.8449004,0.8133817315101624,TSI,ORI,ORI,ORI,ORI,ORI,ORI,TSI,TSI,ORI,ORI,ORI,TSI,Eastern Europe,Europe & Central Asia,Upper middle income,0.6446785374302855,0.7559746785724246,0.3162650602409639,1.0,0.7,0.6914285714285711,0.9999823907550894,0.8998997923572627,0.9386422976501304,0.9858033961741496,0.9929435483870968,0.3751879899386083,0.8118882697967542,68.33836552487348,88.24882630477634,79.14558010741521,78.15079447265762,True,Belarus
BEL,2018,22.0,0.9850659245534086,68.58772081919092,41.42857142857143,0.1,1.0,104.5,4.90796,1.5610529899472192,0.1,99.65574638872704,100.0,99.9891253,0.9877595007419586,TSI,ORI,ORI,ORI,ORI,ORI,ORI,AVG_REG,TSI,ORI,ORI,ORI,TSI,Western Europe,Europe & Central Asia,High income,0.6332345025288857,0.6676829334253477,0.3954545454545455,0.9989071038251366,1.0,0.7599999999999998,0.9977300508569588,0.967979687368099,0.9986945169712794,0.996256604537858,1.0,0.3130272444786199,0.987661542931382,73.9055817046783,93.11010637990844,82.42363479869648,82.77679523260335,True,Belgium
BLZ,2018,24.0,1.0289483071685608,59.06908284718147,11.11111111111111,2.728723404255319,0.71875,105.2,78.44683,7.599498802479009,33.5,91.55532547587842,91.7,64.46818089,0.5228493809700012,TSI,ORI,ORI,AVG_INC,ORI,ORI,ORI,AVG_REG,TSI,ORI,ORI,ORI,TSI,Central America,Latin America & Caribbean,Upper middle income,0.669459989536894,0.5669832729379037,0.106060606060606,0.9701778862922916,0.7,0.7199999999999998,0.9540991892574304,0.8255492364541757,0.5626631853785901,0.9081730582985882,0.9163306451612904,0.2018249180598234,0.5190308578060212,60.25363509655391,76.5577902772549,63.63398698314308,66.45901891508294,True,Belize
BEN,2018,26.0,0.4432082707609848,81.01826771500053,7.228915662650603,20.1,0.6770833333333333,104.0,542.46051,19.427385601185183,30.6,33.989093370334686,39.0,79.24062635,0.2155757211148738,TSI,TSI,ORI,ORI,ORI,ORI,ORI,AVG_REG,ORI,ORI,ORI,ORI,TSI,Western Africa,Sub-Saharan Africa,Lower middle income,0.1859238455439677,0.7991882870024231,0.0690032858707557,0.780327868852459,0.6555555555555554,0.7885714285714284,0.6787982952898195,0.5465616786620118,0.6005221932114881,0.2822009116603408,0.3850806451612903,0.2480717262270162,0.2092981597750176,49.799976856503214,65.3613398933687,28.116286070591624,45.064651164290495,True,Benin
BTN,2018,22.0,0.6813417190775682,68.91703853274907,8.333333333333334,0.72,0.65625,104.9,57.31804,4.2007730887145645,25.8,82.23505988853213,100.0,92.31829061,0.2768187820911407,TSI,ORI,ORI,TSI,ORI,ORI,ORI,AVG_REG,TSI,ORI,ORI,ORI,TSI,Southern Asia,South Asia,Lower middle income,0.3825061554385526,0.6711668543440047,0.0795454545454545,0.9921311475409836,0.6333333333333333,0.7371428571428567,0.9666349722012736,0.9057158970441546,0.6631853785900783,0.8068249859381619,1.0,0.2890128305245286,0.2710313344337237,55.173658904046576,81.81697762445907,59.17172877241036,64.40157550281236,True,Bhutan
BOL,2018,42.0,0.8922382141659098,71.92706736536795,51.80722891566265,3.3,0.875,104.2,171.43248,5.544747081712062,19.7,71.9046347740266,92.8,98.61224848,0.5414178371429443,TSI,ORI,ORI,ORI,ORI,ORI,ORI,TSI,TSI,ORI,ORI,ORI,TSI,South America,Latin America & Caribbean,Lower middle income,0.5566040003495357,0.7030105784559482,0.4945235487404162,0.9639344262295082,0.8666666666666667,0.7771428571428568,0.8989304869658096,0.8740152197867793,0.7428198433420365,0.6944924925980264,0.9274193548387096,0.3087167761586106,0.537747912926944,71.6947844088415,82.32271018093705,61.70941341305727,71.41446937419806,True,Bolivia
BIH,2018,12.0,0.815668202764977,39.0199736063543,19.29824561403509,0.1,0.90625,106.9,5.54747,5.54197355429127,3.5,95.63193716039154,100.0,101.7919614,0.5864798575639725,ORI,ORI,ORI,TSI,ORI,ORI,ORI,AVG_REG,TSI,ORI,ORI,ORI,TSI,Southern Europe,Europe & Central Asia,Upper middle income,0.4933944436230109,0.3548795560443868,0.1842105263157895,0.9989071038251366,0.9,0.6228571428571423,0.9973506273996564,0.8740806397265171,0.954308093994778,0.9525019169684872,1.0,0.3186712264110189,0.583170554003025,58.62783259616647,86.21491259945235,71.35859243456328,71.18319910239023,True,Bosnia and Herzegovina
BWA,2018,34.0,0.9636464492645294,60.1010267906677,9.523809523809524,15.4,0.59375,103.2,162.26725,33.92754456584244,7.586666666666666,82.74409228457517,68.3,137.9300386,0.4181372344493866,AVG_INC,TSI,ORI,TSI,ORI,ORI,ORI,AVG_REG,AVG_REG,ORI,ORI,ORI,TSI,Southern Africa,Sub-Saharan Africa,Upper middle income,0.6155524424958071,0.5779004235908348,0.0909090909090909,0.8316939890710382,0.5666666666666667,0.834285714285714,0.9043682490861392,0.2045425161527468,0.9009573542210618,0.8123601771432293,0.6804435483870968,0.4318055566967508,0.4134807248276883,53.65445225466875,71.10384584364155,58.45225017636913,60.641047853680185,True,Botswana
BRA,2018,23.0,1.055483870967742,57.59161167586225,11.27946127946128,5.3,0.75,104.5,59.1834,3.168202764976958,26.2,91.852897336397,99.7,99.64002652,0.7076998203992844,ORI,ORI,ORI,ORI,ORI,ORI,ORI,ORI,TSI,ORI,ORI,ORI,TSI,South America,Latin America & Caribbean,Upper middle income,0.6913654482738928,0.5513527966271817,0.1076675849403122,0.9420765027322404,0.7333333333333333,0.7599999999999998,0.9655282477711415,0.9300714119193672,0.6579634464751958,0.9114088388854856,0.9969758064516128,0.3119343513382271,0.7053606114322921,60.515913318139205,82.8390776541426,73.14199020269045,71.57431606042515,True,Brazil
BGR,2018,19.0,1.0172649255172626,71.32578972373663,23.75,0.9,0.90625,106.3,7.16773,5.181347150259067,7.8199999999999985,90.3569360470676,98.7,117.8397093,0.7630878984928131,TSI,ORI,ORI,ORI,ORI,ORI,ORI,TSI,AVG_REG,ORI,ORI,ORI,TSI,Eastern Europe,Europe & Central Asia,High income,0.6598152035203625,0.6966495366189739,0.2267045454545454,0.9901639344262296,0.9,0.6571428571428571,0.9963893216328524,0.8825868320369913,0.897911227154047,0.8951418353780758,0.9868951612903226,0.3689105128349452,0.7611919471697876,69.46666440040222,85.85075594916869,75.30348641682828,76.57938678299712,True,Bulgaria
BFA,2018,19.0,0.5662650602409638,44.695435032026914,11.023622047244094,31.2,0.7083333333333333,104.2,276.62409,24.712254570074474,44.75,31.27289421866056,14.4,94.83338248,0.1938951686024665,ORI,ORI,ORI,ORI,ORI,ORI,ORI,TSI,TSI,ORI,ORI,ORI,TSI,Western Africa,Sub-Saharan Africa,Low income,0.2875088521660773,0.4149214486297991,0.105225483178239,0.659016393442623,0.6888888888888888,0.7771428571428568,0.8365199471065272,0.4219060481191751,0.4157963446475196,0.2526651065280347,0.1370967741935483,0.2968866095511431,0.1874441029462064,43.11122132611255,61.28412992540198,21.85231483047332,38.64962340977176,True,Burkina Faso
BDI,2018,40.0,0.6445086705202312,91.34672969574326,37.80487804878049,62.957142857142856,0.625,102.4,517.90526,17.69619423711119,19.0,50.95864884338113,9.5,54.97002994,0.0654888525605201,TSI,TSI,ORI,TSI,ORI,ORI,ORI,AVG_REG,TSI,ORI,ORI,ORI,TSI,Eastern Africa,Sub-Saharan Africa,Low income,0.3520999868929452,0.9084552449303016,0.3608647450110865,0.311943793911007,0.6,0.8799999999999996,0.6933670086014576,0.587395756545368,0.7519582245430809,0.4667269554612297,0.0877016129032258,0.1720898842688989,0.0580101816310984,50.66727541490681,72.81802474224766,19.613215856611323,41.67143132174578,True,Burundi
CPV,2018,19.0,0.9151712887438826,57.42488014547859,23.61111111111111,4.6,0.875,103.3,48.02332,19.427385601185183,8.4,80.43230565086331,90.2,106.8497659,0.2958234280452648,TSI,ORI,ORI,TSI,ORI,ORI,ORI,AVG_REG,ORI,ORI,ORI,ORI,AVG_INC,Western Africa,Sub-Saharan Africa,Lower middle income,0.5755355566067201,0.5495889089206045,0.2253787878787878,0.9497267759562842,0.8666666666666667,0.8285714285714285,0.9721495611788628,0.5465616786620118,0.8903394255874674,0.7872219322252532,0.9012096774193548,0.3345052543715232,0.2901880700591271,63.33793392058127,80.94055234999426,57.82812335188146,66.67909831910576,True,Cabo Verde
KHM,2018,19.0,0.6437363807821189,82.45488561459277,18.47826086956522,0.3965840298565899,0.75,105.2,209.22378,10.065407664650616,18.2,67.21585567459555,80.7,121.1658947,0.2075218260288238,TSI,TSI,ORI,TSI,ORI,ORI,ORI,AVG_REG,TSI,ORI,ORI,ORI,TSI,Southeast Asia,East Asia & Pacific,Lower middle income,0.351462451503863,0.8143865680132705,0.1763833992094861,0.9956657483075784,0.7333333333333333,0.7199999999999998,0.8765087801872548,0.7673851786724792,0.762402088772846,0.643506958012365,0.8054435483870969,0.3793235117212052,0.2011798112779904,61.42463000735064,78.1574011908145,50.736345734966434,62.45165441967671,True,Cambodia
CMR,2018,39.0,0.7378693652846267,73.6165795082063,27.142857142857142,24.15714285714286,0.5833333333333333,103.1,423.89329,20.24828425129148,29.8,50.520903661774426,62.2,73.59740879,0.2210129424929618,ORI,TSI,ORI,TSI,ORI,ORI,ORI,AVG_AFR,ORI,ORI,ORI,ORI,TSI,Central Africa,Sub-Saharan Africa,Lower middle income,0.429170474721891,0.720884280520627,0.2590909090909091,0.7359875097580015,0.5555555555555555,0.8400000000000002,0.7491446300385156,0.527198920674415,0.6109660574412532,0.4619669376350064,0.6189516129032259,0.2304049965951673,0.2147788939454019,54.01377459293968,68.18274020385459,38.15256102697005,51.98773440261112,True,Cameroon
CAF,2018,29.0,0.4846706420746083,55.45707141217101,8.571428571428571,64.82307692307693,0.6770833333333333,103.2,867.63413,20.24828425129148,60.833333333333336,22.893140489007493,14.6,25.10924907,0.0971761718392372,TSI,AVG_INC,ORI,TSI,ORI,ORI,ORI,AVG_AFR,TSI,ORI,ORI,ORI,TSI,Central Africa,Sub-Saharan Africa,Low income,0.220151581228134,0.5287710490617673,0.0818181818181818,0.2915510718789407,0.6555555555555554,0.834285714285714,0.4858716809695602,0.527198920674415,0.2058311575282854,0.1615441100932926,0.1391129032258064,0.0786073387853653,0.089951087005787,35.556948790851585,51.32968683644936,11.730385977756285,27.7673947532988,True,Central African Republic
TCD,2018,29.0,0.3653734052033655,57.8424886399927,12.76595744680851,30.9,0.5833333333333333,104.3,1076.16398,20.24828425129148,62.175,24.51290242448743,10.1,44.75798518,0.0756274431943893,TSI,ORI,ORI,ORI,ORI,ORI,ORI,AVG_AFR,TSI,ORI,ORI,ORI,TSI,Central Africa,Sub-Saharan Africa,Low income,0.1216701349887431,0.5540068764636401,0.1218568665377176,0.6622950819672131,0.5555555555555555,0.7714285714285715,0.3621502119733621,0.527198920674415,0.1883159268929503,0.1791573152434288,0.0937499999999999,0.1401199253146212,0.0682299089996621,40.307690310257385,46.22734077423248,12.031428738942804,28.196898600815704,True,Chad
CHL,2018,21.0,0.9776119402985074,62.52475072315711,0.0,0.7,0.71875,104.0,15.13551,8.730964467005077,23.51590909090909,100.0,100.0,134.6365175,0.746206983923912,TSI,ORI,ORI,TSI,ORI,ORI,ORI,ORI,AVG_REG,ORI,ORI,ORI,TSI,South America,Latin America & Caribbean,High income,0.6270811399790003,0.6035415056274333,0.0,0.9923497267759562,0.7,0.7885714285714284,0.9916620106687936,0.7988610504879095,0.6930037977688108,1.0,1.0,0.4214948170890988,0.7441759386478669,58.4594474476478,81.80245718742356,79.14176889342414,72.33396462516292,True,Chile
CHN,2018,19.0,0.7992510348152326,74.17422556298723,24.24760601915185,0.4,0.6875,113.9,20.35598,3.076414158121072,2.8,91.35058134485284,100.0,116.3882038,0.7857805341482162,ORI,TSI,ORI,ORI,ORI,ORI,ORI,ORI,TSI,ORI,ORI,ORI,TSI,East Asia,East Asia & Pacific,Upper middle income,0.4798418544327785,0.7267837346813727,0.2314544210919039,0.9956284153005464,0.6666666666666666,0.2228571428571424,0.9885646880684532,0.9322364545593316,0.9634464751958224,0.9059466815057716,1.0,0.3643664110073982,0.7840661866027947,62.00750184346536,77.67761901701874,76.35948197789911,71.64749944929696,True,China
COL,2018,30.0,1.038369304556355,59.05961728720183,19.77611940298508,4.5,0.75,104.5,63.14635,3.8157894736842106,23.4,93.08682889651432,98.5,130.9211763,0.439846895635128,ORI,ORI,ORI,ORI,ORI,ORI,ORI,ORI,TSI,ORI,ORI,ORI,TSI,South America,Latin America & Caribbean,Upper middle income,0.6772371474334248,0.5668831348005907,0.1887720488466757,0.9508196721311476,0.7333333333333333,0.7599999999999998,0.9631770160623072,0.9147966094634742,0.6945169712793733,0.924826545051753,0.9848790322580644,0.4098635220393172,0.4353641232796381,62.34090673090344,83.31226492012887,68.87333056571931,70.98681872185404,True,Colombia
COM,2018,16.0,0.7445842063445142,52.29118400615049,6.0606060606060606,18.6,0.4895833333333333,103.2,243.56516,17.69619423711119,25.06,50.50194582767264,81.0,64.26561932,0.2400952713056044,TSI,TSI,ORI,TSI,ORI,ORI,ORI,AVG_REG,TSI,ORI,ORI,ORI,TSI,Eastern Africa,Sub-Saharan Africa,Lower middle income,0.4347136647922452,0.4952784645275915,0.0578512396694214,0.7967213114754098,0.4555555555555555,0.834285714285714,0.8561339226742577,0.587395756545368,0.672845953002611,0.46176079115513,0.8084677419354839,0.2011907761978547,0.2340139341068045,44.80240472040448,73.76653366269876,42.63583108488183,52.0369473228186,True,Comoros
COD,2018,47.0,0.6282093136212193,70.26854871998832,8.166666666666666,76.60000000000001,0.75,102.1,543.4782,20.24828425129148,29.1,23.03571334097171,18.7,41.87818082,0.131390032172203,ORI,TSI,ORI,TSI,ORI,ORI,ORI,AVG_AFR,ORI,ORI,ORI,ORI,TSI,Central Africa,Sub-Saharan Africa,Low income,0.3386446522826462,0.6854647630784813,0.0779545454545454,0.1628415300546447,0.7333333333333333,0.8971428571428574,0.6781944963527237,0.527198920674415,0.6201044386422976,0.163094439703762,0.1804435483870967,0.1311043726658342,0.1244387527431684,39.96477648407301,68.06601782030734,14.977027837496534,34.40945464067122,True,Democratic Republic of Congo
CRI,2018,27.0,1.0267441860465116,56.24456855115587,35.08771929824562,1.5,0.71875,104.4,17.98992,7.599498802479009,17.1,98.36528445498814,99.7,168.5386493,0.6092963069677353,ORI,ORI,ORI,ORI,ORI,ORI,ORI,AVG_REG,ORI,ORI,ORI,ORI,TSI,Central America,Latin America & Caribbean,Upper middle income,0.6676404584104483,0.53710214588085,0.3349282296650718,0.9836065573770492,0.7,0.7657142857142852,0.9899684795109404,0.8255492364541757,0.7767624020887728,0.982224190095022,0.9969758064516128,0.5276292678852695,0.6061695980364357,64.46554782666838,83.94986009420435,77.82497156170851,74.95872801414068,True,Costa Rica
CIV,2018,27.0,0.7466656166968533,60.68025069343973,10.588235294117649,11.5,0.78125,103.0,522.26569,19.427385601185183,28.26666666666667,46.65207179449229,67.1,132.6110689,0.107936542481184,TSI,TSI,ORI,ORI,ORI,ORI,ORI,AVG_REG,TSI,ORI,ORI,ORI,TSI,Western Africa,Sub-Saharan Africa,Lower middle income,0.4364318965559635,0.5840281543152173,0.1010695187165775,0.8743169398907104,0.7666666666666667,0.8457142857142855,0.6907799506572108,0.5465616786620118,0.6309834638816361,0.4198974656482887,0.6683467741935484,0.4151539215948257,0.1007975703402685,55.2502635229027,67.85098447287861,40.104893294423285,53.17358692252729,True,Côte d’Ivoire
HRV,2018,13.0,0.9069965870307168,62.57452712941803,18.543046357615893,0.4,0.9375,106.3,4.89074,5.54197355429127,6.82,96.98023140330388,100.0,105.479914,0.8451347649097443,TSI,ORI,ORI,ORI,ORI,ORI,ORI,AVG_REG,AVG_REG,ORI,ORI,ORI,TSI,Southern Europe,Europe & Central Asia,High income,0.5687872322665922,0.6040681006324644,0.177001806140879,0.9956284153005464,0.9333333333333332,0.6571428571428571,0.997740267541506,0.8740806397265171,0.9109660574412533,0.9671631968658482,1.0,0.3302167783566139,0.8438954151868213,65.57637775347631,85.99824554630334,78.53188476023209,76.22445804949317,True,Croatia
CUB,2018,14.0,1.0145161520741082,52.06092733370527,48.8562091503268,2.728723404255319,0.731060606060606,107.6,38.6073,14.528389522511397,29.4,91.4375131080704,99.6,47.43291193,0.5726386081934767,TSI,TSI,ORI,AVG_INC,AVG_REG,ORI,ORI,AVG_REG,TSI,ORI,ORI,ORI,AVG_INC,Caribbean,Latin America & Caribbean,Upper middle income,0.6575460547021175,0.4928425310664824,0.4663547237076649,0.9701778862922916,0.7131313131313131,0.582857142857143,0.977736117858866,0.6621156212117574,0.6161879895561357,0.9068919728761116,0.9959677419354838,0.1484940854767629,0.5692185363987016,66.00105017799739,70.97242178709755,65.5143084171765,67.45159295575927,True,Cuba
CYP,2018,16.0,0.9927007299270072,70.6346936733221,17.857142857142858,0.0,0.9375,106.5,58.51631,2.941607176938289,6.82,99.51773570577406,100.0,137.0450965,0.90684974193573,ORI,ORI,ORI,ORI,ORI,ORI,ORI,TSI,AVG_REG,ORI,ORI,ORI,TSI,Southern Europe,Europe & Central Asia,High income,0.6395371353028517,0.6893382870635646,0.1704545454545454,1.0,0.9333333333333332,0.6457142857142856,0.9659240345362148,0.9354161832034738,0.9109660574412533,0.9947558837106082,1.0,0.4290351455519889,0.9061042825273944,68.6532660230859,86.45051402238067,83.2473827947498,79.05568820985826,True,Cyprus
